"device_id","created_at","feed_entry_id","luminosity_value","vibration_value","alert"
1885576,"2024-11-26T22:19:53Z",499378,"474","0","0"
1885576,"2024-11-26T22:20:35Z",499379,"480","0","0"
1885576,"2024-11-26T22:21:55Z",499380,"497","0","0"
1885576,"2024-11-26T22:24:21Z",499381,"474","0","0"
1885576,"2024-11-26T22:24:40Z",499382,"495","0","0"
1885576,"2024-11-26T22:24:52Z",499383,"486","0","0"
1885576,"2024-11-26T22:26:18Z",499384,"485","0","0"
1885576,"2024-11-26T22:26:30Z",499385,"497","0","0"
1885576,"2024-11-26T22:27:43Z",499386,"491","0","0"
1885576,"2024-11-26T22:27:55Z",499387,"475","0","0"
1885576,"2024-11-26T22:28:07Z",499388,"490","0","0"
1885576,"2024-11-26T22:28:14Z",499389,"497","0","0"
1885576,"2024-11-26T22:28:32Z",499390,"488","0","0"
1885576,"2024-11-26T22:28:51Z",499391,"496","0","0"
1885576,"2024-11-26T22:29:45Z",499392,"497","0","0"
1885576,"2024-11-26T22:31:11Z",499393,"488","0","0"
1885576,"2024-11-26T22:31:42Z",499394,"496","0","0"
1885576,"2024-11-26T22:33:01Z",499395,"497","0","0"
1885576,"2024-11-26T22:33:26Z",499396,"473","0","0"
1885576,"2024-11-26T22:35:59Z",499398,"498","0","0"
1885576,"2024-11-26T22:37:24Z",499399,"491","0","0"
1885576,"2024-11-26T22:37:48Z",499400,"474","0","0"
1885576,"2024-11-26T22:38:01Z",499402,"486","0","0"
1885576,"2024-11-26T22:38:13Z",499403,"497","0","0"
1885576,"2024-11-26T22:38:56Z",499404,"496","0","0"
1885576,"2024-11-26T22:39:39Z",499406,"473","0","0"
1885576,"2024-11-26T22:40:09Z",499407,"478","0","0"
1885576,"2024-11-26T22:40:27Z",499408,"490","0","0"
1885576,"2024-11-26T22:42:06Z",499409,"497","0","0"
1885576,"2024-11-26T22:42:36Z",499410,"485","0","0"
1885576,"2024-11-26T22:43:00Z",499412,"495","0","0"
1885576,"2024-11-26T22:43:31Z",499413,"480","0","0"
1885576,"2024-11-26T22:43:43Z",499414,"498","0","0"
